fit_time,score_time,test_accuracy,test_precision_macro,test_recall_macro,test_f1_macro
1.6766846179962158,0.6393358707427979,0.6,0.5,0.5,0.4444444444444444
1.4033186435699463,0.13018178939819336,0.2,0.08333333333333333,0.16666666666666666,0.1111111111111111
1.27864670753479,0.08160400390625,0.0,0.0,0.0,0.0
1.2170860767364502,0.0949251651763916,0.6,0.38888888888888884,0.6666666666666666,0.48888888888888893
1.2014515399932861,0.08274507522583008,0.4,0.3333333333333333,0.5,0.38888888888888884
1.163015604019165,0.1153414249420166,0.2,0.08333333333333333,0.16666666666666666,0.1111111111111111
1.1897554397583008,0.09592795372009277,0.6,0.38888888888888884,0.5,0.43333333333333335
1.2183496952056885,0.07561230659484863,0.4,0.3333333333333333,0.5,0.38888888888888884
1.1509838104248047,0.08123230934143066,0.2,0.3333333333333333,0.16666666666666666,0.2222222222222222
1.1788227558135986,0.07636761665344238,0.4,0.2222222222222222,0.3333333333333333,0.26666666666666666
1.1705243587493896,0.09015274047851562,0.0,0.0,0.0,0.0
1.1878738403320312,0.07566380500793457,0.2,0.3333333333333333,0.16666666666666666,0.2222222222222222
1.1410431861877441,0.07815670967102051,0.2,0.16666666666666666,0.16666666666666666,0.16666666666666666
1.1418652534484863,0.11028170585632324,0.0,0.0,0.0,0.0
1.1550087928771973,0.13473796844482422,0.0,0.0,0.0,0.0
1.200965404510498,0.08371281623840332,0.4,0.3333333333333333,0.5,0.38888888888888884
1.1864802837371826,0.07988619804382324,0.4,0.27777777777777773,0.5,0.3333333333333333
1.171614408493042,0.08253741264343262,0.2,0.16666666666666666,0.16666666666666666,0.16666666666666666
1.1461968421936035,0.10570120811462402,0.2,0.1111111111111111,0.16666666666666666,0.13333333333333333
1.1832542419433594,0.07842516899108887,0.8,0.8888888888888888,0.8333333333333334,0.8222222222222223
1.1714794635772705,0.0867624282836914,0.2,0.08333333333333333,0.3333333333333333,0.13333333333333333
1.2152106761932373,0.08173751831054688,0.2,0.16666666666666666,0.16666666666666666,0.16666666666666666
1.207838535308838,0.08587789535522461,0.4,0.4444444444444444,0.3333333333333333,0.35555555555555557
1.1920950412750244,0.07560563087463379,0.0,0.0,0.0,0.0
1.163832664489746,0.11604666709899902,0.2,0.1111111111111111,0.16666666666666666,0.13333333333333333
1.1876928806304932,0.1016690731048584,0.2,0.1111111111111111,0.16666666666666666,0.13333333333333333
1.195462703704834,0.07233190536499023,0.2,0.3333333333333333,0.16666666666666666,0.2222222222222222
1.2432599067687988,0.07290792465209961,0.2,0.1111111111111111,0.16666666666666666,0.13333333333333333
1.19209885597229,0.07681488990783691,0.4,0.3333333333333333,0.5,0.38888888888888884
1.093562126159668,0.08043360710144043,0.8,0.8333333333333334,0.8333333333333334,0.7777777777777777
